questionid,title,text,code,hint,choices,answer,explanation
1,配列に値が含まれているかチェック,配列に 'banana' が含まれているかを調べて true / false を返すメソッドは？,"const fruits = ['apple', 'banana', 'orange'];
console.log(fruits.____('banana')); // ?",指定した値が存在するかどうかを真偽値で返す,"includes ,indexOf ,find ,some",includes,"includes [正解] - 値を含むかを true/false で返す。
indexOf [不正解] - 一致位置を数値で返す。
find [不正解] - 条件関数を使い最初の要素を返す。
some [不正解] - 条件関数が必要で真偽値のみ返す。"
2,配列の末尾に要素を追加,配列の末尾に 4 を追加し、新しい長さを返すメソッドは？,"const nums = [1, 2, 3];
console.log(nums.____(4));",末尾に「押し込む」イメージ,"push ,pop ,unshift ,shift",push,"push [正解] - 末尾に追加し配列の新しい長さを返す。
pop [不正解] - 末尾を削除。
unshift [不正解] - 先頭に追加。
shift [不正解] - 先頭を削除。"
3,配列の先頭から要素を取り出す,先頭要素 'first' を取り除き、返すメソッドは？,"const queue = ['first', 'second', 'third'];
console.log(queue.____()); // ?",「列を左にずらす」イメージ,"pop ,shift ,push ,slice",shift,"shift [正解] - 先頭要素を削除して返す。
pop [不正解] - 末尾を削除。
push [不正解] - 末尾へ追加。
slice [不正解] - 部分コピーで削除しない。"
4,文字列を区切り文字で配列に分割,"文字列を ',' で区切って ['John', 'Doe'] に変換するメソッドは？","const name = 'John,Doe';
console.log(name.____(',')); // ?",文字列を「切り分ける」,"join ,split ,slice ,replace",split,"split [正解] - 区切り文字で分割し配列を返す。
join [不正解] - 配列を文字列に結合。
slice [不正解] - 部分文字列を取得。
replace [不正解] - 置換を行う。"
5,配列要素を文字列として連結,配列を空白で結合し 'Hello World' を返すメソッドは？,"const words = ['Hello', 'World'];
console.log(words.____(' ')); // ?",配列→文字列（逆は split）,"concat ,join ,push ,map",join,"join [正解] - 区切り文字で連結し 1 つの文字列を返す。
concat [不正解] - 配列同士を結合し配列を返す。
push [不正解] - 末尾に追加。
map [不正解] - 要素変換で新配列を返す。"
6,配列の一部をコピーして取得,インデックス 1 から 3 の直前までを抜き出すメソッドは？,"const letters = ['a', 'b', 'c', 'd'];
console.log(letters.____(1, 3)); // ?",元配列を壊さず“スライス”する,"slice ,splice ,substr ,filter",slice,"slice [正解] - 非破壊で部分配列をコピー。
splice [不正解] - 破壊的に削除や挿入。
substr [不正解] - 文字列用旧 API。
filter [不正解] - 条件抽出で要素を選ぶ。"
7,配列を逆順に並べ替える,"配列を [3, 2, 1] に並べ替えるメソッドは？","const nums = [1, 2, 3];
console.log(nums.____()); // ?",配列を“反転”する,"sort ,reverse ,map ,reduce",reverse,"reverse [正解] - 要素順を反転、元配列を直接変更。
sort [不正解] - 比較関数しだいで並べ替え。
map [不正解] - 変換のみ。
reduce [不正解] - 累積計算用。"
8,すべての要素が条件を満たすか判定,全員が 18 歳以上かどうかを真偽値で返すメソッドは？,"const ages = [18, 20, 25];
console.log(ages.____(n => n >= 18)); // ?",“すべて”を確認,"some ,every ,filter ,find",every,"every [正解] - 全要素が条件を満たすか判定。
some [不正解] - 1 つでも満たせば true。
filter [不正解] - 条件要素を抽出。
find [不正解] - 最初の要素を返す。"
9,少なくとも1つの要素が条件を満たすか判定,60 点以上の人がいるかどうかを調べるメソッドは？,"const scores = [40, 55, 70];
console.log(scores.____(s => s >= 60)); // ?",“1つでもあれば true”,"every ,some ,find ,map",some,"some [正解] - 条件を満たす要素が 1 つでもあれば true。
every [不正解] - 全要素が満たすか確認。
find [不正解] - 条件を満たす最初の要素を返す。
map [不正解] - 変換処理のみ。"
10,配列を操作して要素を削除・追加,インデックス 1 の 'green' を削除し 'yellow' を挿入するメソッドは？,"const colors = ['red', 'green', 'blue'];
colors.____(1, 1, 'yellow');
console.log(colors); // ['red', 'yellow', 'blue']",“配列を切って貼る”万能メソッド（破壊的）,"splice ,slice ,concat ,push",splice,"splice [正解] - 挿入/削除で配列を直接変更。
slice [不正解] - 非破壊コピー。
concat [不正解] - 配列を結合し新配列を返す。
push [不正解] - 末尾に追加。"
11,配列を文字列に連結,要素をハイフンで連結した文字列を作るメソッドは？,"const fruits = [""apple"", ""banana"", ""orange""];
console.log(fruits.____(""-""));",配列要素を区切り文字で結合するメソッド！,"join ,concat ,push ,toString",join,"join [正解] - 区切り文字で連結し 1 つの文字列を返す。
concat [不正解] - 配列結合で配列を返す。
push [不正解] - 末尾に追加。
toString [不正解] - カンマ区切りで文字列化する。"
