questionid,title,text,code,hint,choices,answer,explanation
401,全一致の詳細取得（反復可能）【入力】,正規表現の“全ての一致”をイテレータで取得するメソッドは？,"const s = 'id=12,id=34';
const re = /id=(\d+)/g;
for (const m of s.____(re)) {
  console.log(m[1]); // 12, 34
}",-,-,matchAll,`String.prototype.matchAll`は、グローバル正規表現での全一致を**反復可能なイテレータ**として返す。各要素は`exec`と同様のマッチ配列（キャプチャ含む）。部分一致の走査やインデックス取得に向く。
402,コードポイント単位の取得【入力】,サロゲートペアに対応して、指定位置の“コードポイント”を取得するメソッドは？,const s = 'A💡Z';
console.log(s.____(1).toString(16)); // 1f4a1,-,-,codePointAt,`String.prototype.codePointAt(pos)`はUTF-16の**コードユニット**ではなく**Unicodeコードポイント**を返す。絵文字などサロゲートペアも1文字として正しく扱える。未範囲なら`undefined`。
403,Mapのキー存在確認【入力】,Mapで指定キーが存在するか真偽値を返すメソッドは？,"const m = new Map([['x',1]]);
console.log(m.____('x')); // true",-,-,has,`Map.prototype.has(key)`はキーの存在をO(1)で判定。オブジェクトの`in`演算子はプロパティ探索なのでMapには不適切。比較はSameValueZero準拠で`NaN`も同一扱い。
404,安全なプロパティ存在判定（Reflect）【入力】,プロパティの存在を安全に判定するReflectのメソッドは？,"const o = Object.create({a:1});
o.b = 2;
console.log(Reflect.____(o,'a')); // true
console.log(Reflect.____(o,'b')); // true",-,-,has,"`Reflect.has(target, key)`は抽象操作`HasProperty`を関数化したもの。`key in target`と同等で、継承プロパティも探索し、Proxyの`has`トラップも発火する。"
405,プロパティ定義（成功/失敗を返す）【入力】,プロパティを定義し、成功ならtrueを返すReflectのメソッドは？,"const o = {};
const ok = Reflect.____(o, 'x', { value: 1, writable: false });
console.log(ok, o.x); // true, 1",-,-,defineProperty,"`Reflect.defineProperty(target, key, desc)`は`Object.defineProperty`相当だが**例外の代わりに真偽値**を返す。Proxyの`defineProperty`トラップ経由の制御にも有用。"
406,全キー列挙（Symbol含む）【入力】,列挙可否に関わらず“自前の全キー（含Symbol）”を配列で返すメソッドは？,"const sym = Symbol('s');
const o = {[sym]:1, x:2};
console.log(Reflect.____(o).length >= 2); // true",-,-,ownKeys,`Reflect.ownKeys(obj)`は自前プロパティの**文字列キー+Symbolキー**をすべて返す。列挙可能性に依らず取得でき、順序は整数様キー→文字列→Symbolの仕様順。
407,TypedArrayの部分ビュー取得【入力】,TypedArrayで“コピーせず”部分を切り出すビューを得るメソッドは？,"const u8 = Uint8Array.from([10,20,30,40]);
const v = u8.____(1,3);
console.log([...v]); // [20,30]",-,-,subarray,"`TypedArray.prototype.subarray(begin, end)`は**同一ArrayBufferを参照**する軽量ビューを返す。コピーしないため高速だが、元とビューで内容が共有される点に注意。"
408,TypedArrayへの高速コピー【入力】,TypedArrayへ他配列/TypedArrayの内容を“まとめて”書き込むメソッドは？,"const u = new Uint8Array(4);
u.____([1,2], 1);
console.log([...u]); // [0,1,2,0]",-,-,set,"`TypedArray.prototype.set(source, offset=0)`は`source`全体を一括コピー。メモリ転送として最適化されていることが多く、高速。重なりの自己コピーにも安全。"
